"discharge_to_concept_name","discharge_to_concept_id","UCLH","UHB"
"Adult Living Care Facility","8882","240","1688"
"Assisted Living Facility","8615","123","831"
"Home","8536","108176","115093"
"Hospice","8546","77","84"
"Inpatient Hospital","8717","3309","4118"
"Inpatient Psychiatric Facility","8971","420","137"
"Intermediate Mental Care Facility","8951","18","13"
"No matching concept","0","4499","<=10"
"Patient died","4216643","1103","2649"
"Prison / Correctional Facility","38003619","296","186"
"NULL","0","<=10","13744"
